プラグイン名,配布元,種別,公開日,記事URL,サムネイルURL,概要,取得日時
Reflector,,FREE,2026-08-09,https://bedroomproducersblog.com/2026/08/09/reflector-sample-discovery/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/reflector.jpg,"Composer and software engineer Austin Rockman has released Reflector, a free open-source interactive audio workstation for sample discovery. Austin contacted me about the project, and I liked the idea...",2026-08-10T03:08:05.498078+00:00
Stagecraft Software RingMod is now,,FREE,2026-08-09,https://bedroomproducersblog.com/2026/08/09/stagecraft-software-ringmod/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/StagecraftSoftware-RingMod.jpg,"Stagecraft Software’s RingMod plugin previously cost $30, but the Chicago-based developer has decided to make it available for free. To grab RingMod for free, head to the product page, and there you c...",2026-08-10T03:08:05.498078+00:00
Phosphor-1,OA-Labs,FREE,2026-08-08,https://bedroomproducersblog.com/2026/08/08/oa-phosphor-synth/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/phosphor-1.jpg,"OA-Labs has released OA-Phosphor-1, a free virtual analog synthesizer plugin for macOS. The developer describes it as a synth for “controllable instability,” and I think it’s a good fit. Phosphor-1 ca...",2026-08-09T02:58:58.004108+00:00
Radical1 Solo,Sound Radix,FREE,2026-08-07,https://bedroomproducersblog.com/2026/08/07/sound-radix-radical1-solo/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/radical1solo.jpg,"Sound Radix has released Radical1 Solo, a free monophonic additive synth plugin for macOS and Windows. I have not heard much from Sound Radix about new products in a while, but that is on me, since th...",2026-08-08T02:51:21.862465+00:00
Rivet,GANUE Audio,FREE,2026-08-07,https://bedroomproducersblog.com/2026/08/07/ganue-audio-rivet/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/ganue.jpg,"GANUE Audio has released Rivet, a free FET compressor plugin for Windows and macOS. Rivet is an input-driven compressor, so there is no threshold control. You drive the signal into the compressor with...",2026-08-08T02:51:21.862465+00:00
Zrythm,,FREE,2026-08-06,https://bedroomproducersblog.com/2026/08/06/zrythm-2-alpha/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/Zrythm.jpg,"You can now access and test the Alpha version of Zrythm v2, a free and open-source DAW. When it comes to digital audio workstations, especially free options, there have been plenty of changes in recen...",2026-08-06T15:03:42.771473+00:00
MIDIpad turns your PlayStation controller into a,,FREE,2026-08-06,https://bedroomproducersblog.com/2026/08/06/midipad-free/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/midipad.jpg,"Steve Mitchell has released MIDIpad, a free macOS app that turns a game controller into a musical instrument and MIDI controller. I used an old tool more than a decade ago that converted a game contro...",2026-08-06T15:03:42.771473+00:00
IK Multimedia gives away Pianoverse Black Pearl B200 with ne,,FREE,2026-08-06,https://bedroomproducersblog.com/2026/08/06/ik-multimedia-pianoverse-black-pearl-b200/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/pianoverse-black-pearl.jpg,"IK Multimedia is offering Pianoverse Black Pearl B200 as a free download for users who subscribe to the IK newsletter. The offer runs through September 1st, 2026. IK says you get Black Pearl immediate...",2026-08-07T03:44:33.342518+00:00
RAIJU saturator plugin,fedDSP,FREE,2026-08-06,https://bedroomproducersblog.com/2026/08/06/feddsp-raiju/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/raiju.jpg,"fedDSP has released RAIJU, a zero-latency saturator plugin for macOS and Windows, and you can get it for free until August 20th, 2026. RAIJU normally costs £30, but the developer is offering it for fr...",2026-08-07T03:44:33.342518+00:00
"Nathaniel Wing’s N-Stereo for macOS, Windows, and Linux",,LIMITED,2026-08-05,https://bedroomproducersblog.com/2026/08/05/nathaniel-wing-n-stereo/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/n-stereo.jpg,"Developer Nathaniel Wing’s N-Stereo for macOS, Windows, and Linux is now available for free for a limited time. Stereo enhancers and effects plugins have been relatively popular in 2026, with multiple...",2026-08-05T15:05:36.693388+00:00
Line 6 launches,,FREE,2026-08-05,https://bedroomproducersblog.com/2026/08/05/helix-stadium-native/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/helix.jpg,"Line 6 has launched Helix Stadium Native Intro, a free amp and effects plugin for macOS and Windows. Helix Stadium Native launched on August 4th, 2026, and the Intro license is a permanent free versio...",2026-08-05T15:05:36.693388+00:00
Get noshige76 FET compressor plugin,,FREE,2026-08-05,https://bedroomproducersblog.com/2026/08/05/noshige76-fet-free/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/noshige76.jpg,"noshigeSound is offering noshige76, a new FET-style compressor plugin for macOS and Windows, as a free download until August 19th, 2026. The plugin launched on August 5th, and the free offer runs thro...",2026-08-05T15:05:36.693388+00:00
SoundBridge: Virtual Collaboration on steroids,,FREE,2026-08-05,https://bedroomproducersblog.com/2026/08/05/soundbridge-review/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/soundbridge.jpg,"Choosing a DAW is a weirdly personal thing. Most of us end up with one of the familiar names, learn its shortcuts, build our templates, complain about it often, and then keep using it for years. That ...",2026-08-05T15:05:36.693388+00:00
THEDI,Analog Obsession,FREE,2026-08-04,https://bedroomproducersblog.com/2026/08/04/analog-obsession-thedi/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/thedi.jpg,"Analog Obsession has released THEDI, a free coloration plugin inspired by a famous colored DI box. The developer describes THEDI as a “colored DI box in the box” that tightens the low end, enhances th...",2026-08-04T15:14:07.764773+00:00
The Bass Particle,,FREE,2026-08-04,https://bedroomproducersblog.com/2026/08/04/the-bass-particle/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/bass-particle.jpg,"Jesus Oyola has released The Bass Particle, a free bass saturation and sub-resonator plugin for Windows, macOS, and Linux. This is a cool little plugin for saturating and thickening bass frequencies. ...",2026-08-04T15:14:07.764773+00:00
Steinberg re-releases five classic VST plugins for FREE,,FREE,2026-08-04,https://bedroomproducersblog.com/2026/08/04/steinberg-classics-free/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/steinberg.jpg,"Steinberg has re-released five of its classic VST plugins in the free Steinberg Classic Collection, available now at Plugin Boutique. The bundle includes Neon, CS-40, Karlette, VB-1, and LM7. These ar...",2026-08-04T15:14:07.764773+00:00
Pigments Play,Arturia,FREE,2026-08-04,https://bedroomproducersblog.com/2026/08/04/arturia-pigments-play/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/pigments-play.jpg,"Arturia has released Pigments Play, a free software synthesizer powered by its flagship Pigments instrument. Pigments Play is not the full version of Pigments, but it gives you a free and approachable...",2026-08-05T03:54:43.551553+00:00
